# input_path:./LR04_2000ka.txt
# method:1
# n50:3
# sample_number_of_AR1:100
# confidence_level:[0.99, 0.95, 0.9]
# output_path:./result.txt
# #################################################### 
# Freq 	 PSD	99.0%confidence_level	95.0%confidence_level	90.0%confidence_level
2.066549657538325757e-01 1.131272551274129651e-02 3.669567758213611031e-01 2.541584159525418496e-01 2.213196106058808454e-01
2.163724013829506909e-01 8.816437292882424448e-02 2.555994633875163791e-01 2.344504082735393014e-01 1.962075406286627466e-01
2.265467752465872564e-01 5.227228429442432045e-02 2.421599899747379769e-01 2.175281969003123039e-01 1.890992549383952448e-01
2.371995737284071648e-01 4.229138633493156885e-02 2.184814648028202133e-01 1.853829289009409909e-01 1.646006859624786489e-01
2.483532935558113441e-01 2.283883011295089263e-02 2.462109564710941445e-01 1.988452826696137099e-01 1.636491041813357694e-01
2.600314893088366830e-01 1.482137166567922514e-02 2.451624258415926183e-01 2.022679884423881358e-01 1.685949446875695257e-01
2.722588231630461708e-01 1.076509930698375805e-02 2.918149326469952620e-01 2.163534071943614412e-01 1.659603156629241849e-01
2.850611169714507565e-01 1.808929716420594816e-02 2.583449185949511229e-01 1.665773504852631204e-01 1.435595192349078397e-01
2.984654067954572443e-01 3.395894280674283117e-02 2.450219278323989003e-01 1.592896731903882812e-01 1.217238767145574774e-01
3.124999999999983347e-01 1.366567693756847758e-02 2.105727406628091214e-01 1.289270148760053858e-01 1.033908093593012001e-01
