time	insolation_65N
1126	490.8417104
1125	491.8207478
1124	493.0852274
1123	495.0276739
1122	497.8266504
1121	501.5236021
1120	506.0861885
1119	511.2514971
1118	516.5402214
1117	521.4853796
1116	525.538263
1115	527.9380749
1114	528.4300245
1113	526.4516283
1112	522.0084717
1111	515.1951488
1110	506.4361753
1109	496.281083
1108	485.6160543
1107	475.2366321
1106	466.0376728
1105	458.8513674
1104	454.2694775
1103	452.6942957
1102	454.309677
1101	459.0004924
1100	466.2461061
1099	475.4668381
1098	485.6280707
1097	495.6277641
1096	504.4189815
1095	510.8532813
1094	514.2022149
1093	513.91522
1092	510.0569845
1091	502.845198
1090	493.2423869
1089	482.1186869
1088	470.7467769
1087	460.3100711
1086	451.9150571
1085	446.4349916
1084	444.5994779
1083	446.6795373
1082	452.8022918
1081	462.7125578
1080	475.7789495
1079	491.2464728
1078	507.8477221
1077	524.3976747
1076	539.4100864
1075	551.5913035
1074	559.7830892
1073	563.1492978
1072	561.314734
1071	554.3996258
1070	543.0023465
1069	528.0831183
1068	511.0118461
1067	493.1072655
1066	475.9137913
1065	460.6701828
1064	448.462055
1063	440.0603189
1062	435.9595889
1061	436.232723
1060	440.7704225
1059	449.0575352
1058	460.257295
1057	473.4471968
1056	487.3259497
1055	500.6658701
1054	512.2241672
1053	520.9347315
1052	526.0018536
1051	527.0905579
1050	524.2344092
1049	517.853206
1048	508.8123348
1047	498.0694166
1046	486.7573175
1045	476.0207923
1044	466.7859844
1043	459.8281447
1042	455.6833582
1041	454.6045181
1040	456.5380874
1039	461.3208811
1038	468.3898502
1037	477.1648211
1036	486.8471326
1035	496.7365337
1034	505.8885073
1033	513.8551651
1032	519.941966
1031	523.9024191
1030	525.6711241
1029	525.3093085
1028	523.0495879
1027	519.3644063
1026	514.5994028
1025	509.1726148
1024	503.5758091
1023	497.9794096
1022	492.5977514
1021	487.6524709
1020	483.0117824
1019	478.7641107
1018	474.8861286
1017	471.3177132
1016	468.0649744
1015	465.402315
1014	463.2342469
1013	462.0094568
1012	461.8569995
1011	463.0517095
1010	465.7559552
1009	470.1928155
1008	476.1704779
1007	483.6001468
1006	492.2086161
1005	501.2490285
1004	510.2845208
1003	518.4762376
1002	524.9896838
1001	529.1934681
1000	530.653541
999	528.7948401
998	523.9832846
997	516.2738885
996	506.3681678
995	495.1552176
994	483.6151771
993	472.6900826
992	463.5080624
991	456.8486109
990	453.2928825
989	453.3788112
988	457.1090737
987	464.2198261
986	474.3540876
985	486.5178809
984	499.6908767
983	512.5904102
982	523.8982673
981	532.1858343
980	536.6674771
979	536.4787566
978	531.5355673
977	522.1887226
976	509.3155708
975	493.9298794
974	477.7694165
973	462.0570611
972	448.2311389
971	437.6120202
970	430.9074392
969	428.7291962
968	431.4139529
967	438.6334994
966	449.9938303
965	464.7883954
964	481.7594516
963	499.650644
962	517.1156813
961	532.5164456
960	544.6537982
959	552.6441851
958	555.6340105
957	553.713023
956	547.244023
955	536.8105318
954	523.6960272
953	509.1737071
952	494.3299258
951	480.6453408
950	468.9930621
949	460.189116
948	454.7411834
947	452.9679937
946	454.5751099
945	459.4912659
944	466.9951657
943	476.3035075
942	486.5591142
941	496.7709021
940	505.8126329
939	512.9943892
938	517.5448904
937	519.0018556
936	517.4113927
935	512.9439983
934	506.0195936
933	497.5212666
932	488.1920893
931	478.8498089
930	470.3911667
929	463.4980626
928	458.4523548
927	455.874062
926	455.5425931
925	457.453108
924	461.3709072
923	466.8115861
922	473.2130623
921	480.2422124
920	487.192709
919	493.6849383
918	499.5071824
917	504.2752879
916	508.0076348
915	510.7825483
914	512.6739822
913	513.7883376
912	514.5472688
911	514.7983592
910	514.8533174
909	514.687755
908	514.1811249
907	513.2558902
906	511.8274851
905	509.5697937
904	506.4600724
903	502.4957656
902	497.5285749
901	491.8709832
900	485.8127735
899	479.6099664
898	473.863664
897	469.0259585
896	465.471319
895	463.6842133
894	463.9305113
893	466.1370449
892	470.4074021
891	476.2669229
890	483.2635755
889	490.7187552
888	497.9249039
887	503.9433725
886	508.2153885
885	510.1150559
884	509.3076368
883	505.8932968
882	500.1186572
881	492.5359475
880	484.0188302
879	475.4399758
878	467.6895617
877	461.6923285
876	458.0915133
875	457.3419183
874	459.7489452
873	465.2192384
872	473.4040179
871	483.7634434
870	495.4786307
869	507.4451599
868	518.7549309
867	528.1820091
866	534.8446776
865	538.1278418
864	537.5937431
863	533.3411417
862	525.7998561
861	515.6950267
860	503.9545155
859	491.7804279
858	480.1339831
857	470.0571467
856	462.3392721
855	457.4549229
854	455.7334923
853	457.1620487
852	461.4168603
851	468.0047764
850	476.2348187
849	485.1486283
848	493.9516608
847	501.631027
846	507.5247074
845	511.0156011
844	511.8804351
843	510.1580406
842	506.1138542
841	500.4092918
840	493.6624249
839	486.7248221
838	480.3348263
837	475.1877426
836	471.7177482
835	470.3650265
834	471.0827172
833	473.8968567
832	478.407781
831	484.2255718
830	490.6917735
829	497.2500062
828	503.2047758
827	507.9935422
826	511.2173959
825	512.5389109
824	511.9399118
823	509.540972
822	505.631123
821	500.6846539
820	495.1954093
819	489.7877085
818	484.8809169
817	481.010716
816	478.4134866
815	477.2865741
814	477.5916314
813	479.2416286
812	481.8047091
811	485.0440436
810	488.3342005
809	491.2810574
808	493.4445855
807	494.4921829
806	494.2185666
805	492.6775228
804	490.0202494
803	486.5414387
802	482.7730938
801	479.1637166
800	476.2000239
799	474.4449795
798	474.1355125
797	475.5021494
796	478.6507533
795	483.3204683
794	489.2677242
793	496.0449287
792	503.0094285
791	509.5542604
790	515.1129262
789	519.0210238
788	520.9714716
787	520.7074239
786	518.247513
785	513.7333171
784	507.7783128
783	500.7015984
782	493.3739128
781	486.3386352
780	480.2404804
779	475.5326663
778	472.6738961
